Annotation	key	cell_class	removal_reason	num_cells_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Inh_Foxp2_Bmp3_2	300-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-1	neuron		50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P	IRN|MDRN|PARN	MY	IRN	NA	MY	IRN	GLY
Inh_Foxp2_Bmp3_3	300-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-1	neuron		292	0	0	0	0	0	0	0	0	6	10	56	1	0	MY|P	MY	0.767123287671233	PARN|ECU|GRN|MDRN|DCN|SPVI|IRN|SPVO|SPVC	PARN	0.428571428571429	P|MY	IRN|MDRN|PARN	P	IRN	73	MY	PARN	GLY
Inh_Foxp2_Bmp3_4	300-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-1	neuron		390	0	0	0	0	0	0	0	0	0	1	5	1	0	MY|CB	MY	0.714285714285714	ECU|MDRN|MY	ECU	0.6					7	MY	ECU	GLY
Inh_Foxp2_Bmp3_5	300-0-0-0-0-0-0-0-0-0-2-0-0-0-0-1	neuron		95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P	MDRN	MY	MDRN	NA	MY	MDRN	GLY
Inh_Pax8_Cntnap3	300-0-0-0-0-0-0-0-0-0-2-0-0-0-1-0	neuron		326	0	0	0	0	0	0	0	0	10	35	119	0	0	MY|P	MY	0.725609756097561	PARN|IRN|PGRN|MY|GRN|NTS|VNC|SPVI|DCN|MDRN	PARN	0.243697478991597	MY|P	IRN|MDRN|PARN	MY	IRN	164	MY	PARN	GLY
Inh_Pax8_Vgll3	300-0-0-0-0-0-0-0-0-0-2-0-0-0-1-1-0	neuron		94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	IRN|PARN|NTS|SPVI	MY	IRN	NA	MY	IRN	GLY
Inh_Pax8_Agtr1a_Tacr3	300-0-0-0-0-0-0-0-0-0-2-0-0-0-1-1-1	neuron		84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		GLY
Inh_Pax2_Igfbpl1_1	300-0-0-0-0-0-0-0-0-0-2-0-0-1-0-0	neuron		97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		GLY
Inh_Pax2_Igfbpl1_2	300-0-0-0-0-0-0-0-0-0-2-0-0-1-0-1	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	MY	MY	MY	NA	MY	MY	GABA
Inh_Pax2_Irx4_1	300-0-0-0-0-0-0-0-0-0-2-0-0-1-1-0	neuron		48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		GLY
Inh_Pax2_Irx4_2	300-0-0-0-0-0-0-0-0-0-2-0-0-1-1-1	neuron		47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		GLY
Inh_Pax2_Postn_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-0-0-0-0	neuron		49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Chrdl2_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-0-0-0-1	neuron		25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Postn_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-0-0-0-2	neuron		17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Chrdl2_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-0-0-1	neuron		56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Robo3	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-0-1	neuron		52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN|SPVI	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Chrdl2_3	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-0-1	neuron		151	0	0	0	0	0	0	0	0	0	0	71	3	0	MY	MY	0.959459459459459	NTS|SPVI|PARN	NTS	0.577464788732394	MY	NTS|PARN	MY	NTS	74	MY	NTS	GLY
Inh_Pax2_Rgs5	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-0-1	neuron		279	0	0	0	0	0	0	0	0	0	0	83	8	3	MY	MY	0.882978723404255	NTS|IRN|DMX	NTS	0.710843373493976	MY	NTS|PARN	MY	NTS	94	MY	NTS	GLY
Inh_Pax2_Tnfaip8l3_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-0-0-0	neuron		150	0	0	0	0	0	0	0	0	0	3	55	11	2	MY|CB	MY	0.774647887323944	NTS|DCN|MDRN|PARN|PAS	NTS	0.309090909090909	MY	NTS|PARN	MY	NTS	71	MY	NTS	GLY
Inh_Pax2_Tnfaip8l3_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-0-0-1	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		GLY
Inh_Pax2_Tnfaip8l3_3	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-0-1-0	neuron		74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Tnfaip8l3_4	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-0-1-1	neuron		36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Tnfaip8l3_5	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-1-0	neuron		135	0	0	0	0	0	0	0	0	0	0	59	0	0	MY	MY	1	NTS|PARN|SPVI|DCN|IRN	NTS	0.661016949152542	MY	NTS|PARN	MY	NTS	59	MY	NTS	GLY
Inh_Pax2_Igfbp4	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-0-1-1-1	neuron		78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Rxfp1_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-0-0-0	neuron		66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	PARN	MY	PARN	NA	MY	PARN	GLY
Inh_Pax2_Rxfp1_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-0-0-1	neuron		45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	PARN|IRN|NTS|SPVI	MY	PARN	NA	MY	PARN	GLY
Inh_Pax2_Mgarp_Tcim	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-0-1	neuron		51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	IRN|PARN|SPVO	MY	IRN	NA	MY	IRN	GLY
Inh_Pax2_Zbbx	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-0-2	neuron		42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	PARN|NTS|SPVI	MY	PARN	NA	MY	PARN	GLY
Inh_Pax2_Tfap2c_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-1-0	neuron		41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P	IRN|MDRN|PARN	MY	IRN	NA	MY	IRN	GLY
Inh_Pax2_Tfap2c_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-0-1-1-1	neuron		28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	PARN|IRN	MY	PARN	NA	MY	PARN	GLY
Inh_Pax2_Agtr1b_1	300-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	neuron		173	0	0	0	0	0	0	0	0	1	3	65	10	0	MY|CB	MY	0.822784810126582	NTS|PARN|VNC|DMX	NTS	0.630769230769231	MY	NTS|PARN	MY	NTS	79	MY	NTS	GLY
Inh_Pax2_Agtr1b_2	300-0-0-0-0-0-0-0-0-0-2-0-1-0-1-1	neuron		95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Agtr1b_3	300-0-0-0-0-0-0-0-0-0-2-0-1-0-1-2	neuron		99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Areg	300-0-0-0-0-0-0-0-0-0-2-0-1-1-0	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|CB	NTS|PARN	MY	NTS	NA	MY	NTS	GLY
Inh_Pax2_Adamts12	300-0-0-0-0-0-0-0-0-0-2-0-1-1-1	neuron		51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	IRN|MDRN|PARN	MY	IRN	NA	MY	IRN	GLY
Inh_Pax2_Kcnj5	300-0-0-0-0-0-0-0-0-0-2-1-0-0-0	neuron		69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	P		P		NA	P		GLY
Inh_Pax2_Brs3	300-0-0-0-0-0-0-0-0-0-2-1-0-0-1	neuron		44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		GLY
Inh_Pax2_Gli2_1	300-0-0-0-0-0-0-0-0-0-2-1-0-1	neuron		116	0	0	0	0	0	0	0	0	6	39	54	0	0	MY|P	MY	0.545454545454545	GRN|IRN|PGRN|MY|PARN|VNC	GRN	0.277777777777778	MY|P	IRN|PARN	MY	IRN	99	MY	GRN	GLY
Inh_Pax2_Gli2_2	300-0-0-0-0-0-0-0-0-0-2-1-1	neuron		145	0	0	0	0	0	0	0	0	0	8	9	0	0	MY|P	MY	0.529411764705882	IRN|PHY|VNC|PGRN|GRN	IRN	0.222222222222222	MY|P		MY		17	MY	IRN	GLY
Ex_Lhx9_Igfbpl1_1	300-0-0-0-0-0-0-0-0-0-20-0-0-0-0	neuron		190	0	0	0	0	0	0	0	0	2	6	61	4	0	MY|P	MY	0.835616438356164	MY|SPVI|PARN|SPVC|VNC|ECU	MY	0.213114754098361					73	MY	MY	VGLUT2
Ex_Lhx9_Igfbpl1_2	300-0-0-0-0-0-0-0-0-0-20-0-0-0-1	neuron		72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
Ex_Lhx9_Tmem215_1	300-0-0-0-0-0-0-0-0-0-20-0-0-1-0	neuron		87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	PARN	MY	PARN	NA	MY	PARN	VGLUT2
Ex_Lhx9_Tmem215_2	300-0-0-0-0-0-0-0-0-0-20-0-0-1-1	neuron		82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
Ex_Lhx9_Slc38a11_1	300-0-0-0-0-0-0-0-0-0-20-0-1-0-0-0-0	neuron		68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		VGLUT2
Ex_Lhx9_Slc38a11_2	300-0-0-0-0-0-0-0-0-0-20-0-1-0-0-0-1	neuron		53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		VGLUT2
Ex_Lhx9_Slc38a11_3	300-0-0-0-0-0-0-0-0-0-20-0-1-0-0-1	neuron		50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		VGLUT2
Ex_Lhx9_Wdr72	300-0-0-0-0-0-0-0-0-0-20-0-1-0-1-0-0	neuron		63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	GRN|PARN	MY	GRN	NA	MY	GRN	VGLUT1_VGLUT2
Ex_Lhx9_Slc38a11_4	300-0-0-0-0-0-0-0-0-0-20-0-1-0-1-0-1	neuron		31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		VGLUT2
Ex_Lhx9_Slc38a11_5	300-0-0-0-0-0-0-0-0-0-20-0-1-0-1-1	neuron		40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P	PARN	MY	PARN	NA	MY	PARN	VGLUT2
Ex_Lhx9_Slc38a11_6	300-0-0-0-0-0-0-0-0-0-20-0-1-1	neuron		43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
Inh_Sox6_Cdkn1c	300-0-0-0-0-0-0-0-0-0-20-1	neuron		69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	SPVO|GRN|IRN	MY	SPVO	NA	MY	SPVO	GLY
Ex_Tlx1_Aoc1	300-0-0-0-0-0-0-0-0-0-21-0-0-0-0-0	neuron		56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		VGLUT2
Ex_Tlx1_Tmem215_1	300-0-0-0-0-0-0-0-0-0-21-0-0-0-0-1	neuron		56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		VGLUT2
Ex_Tlx1_Tmem215_2	300-0-0-0-0-0-0-0-0-0-21-0-0-0-1-0	neuron		55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY		MY		NA	MY		VGLUT2
Ex_Tlx1_Tmem215_3	300-0-0-0-0-0-0-0-0-0-21-0-0-0-1-1	neuron		35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
Ex_Tlx1_Crocc2_1	300-0-0-0-0-0-0-0-0-0-21-0-0-1-0-0	neuron		66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		VGLUT2
Ex_Tlx1_Crocc2_2	300-0-0-0-0-0-0-0-0-0-21-0-0-1-0-1	neuron		49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	P|MY		P		NA	P		VGLUT2
Ex_Tlx1_Crocc2_3	300-0-0-0-0-0-0-0-0-0-21-0-0-1-0-2	neuron		20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
Ex_Tlx1_Crocc2_4	300-0-0-0-0-0-0-0-0-0-21-0-0-1-1	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	P|MY		P		NA	P		VGLUT2
Ex_Tlx1_Crocc2_5	300-0-0-0-0-0-0-0-0-0-21-0-1-0	neuron		80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P	MY|PARN|SPVI	MY	MY	NA	MY	MY	VGLUT2
Ex_Tlx1_Crocc2_6	300-0-0-0-0-0-0-0-0-0-21-0-1-1	neuron		31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	P|MY	IRN|PARN	P	IRN	NA	P	IRN	VGLUT2
Ex_Lmx1b_Krt9_1	300-0-0-0-0-0-0-0-0-0-21-1-0-0	neuron		81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	GRN|PARN|VNC	MY	GRN	NA	MY	GRN	VGLUT2
Ex_Lmx1b_Krt9_2	300-0-0-0-0-0-0-0-0-0-21-1-0-1	neuron		76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY	GRN|MY|PARN|VNC	MY	GRN	NA	MY	GRN	VGLUT2
Ex_Dlk1_Nms	300-0-0-0-0-0-0-0-0-0-21-1-1	neuron		58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	P		P		NA	P		VGLUT2
Ex_Tfap2b_Ppp1r1c_1	300-0-0-0-0-0-0-0-0-0-22-0	neuron		353	0	0	0	0	0	0	2	1	65	1	0	1	0	MB	MB	0.928571428571429	SCm|PAG|MB	SCm	0.584615384615385	MB	SCm	MB	SCm	70	MB	SCm	VGLUT2
Ex_Tfap2b_Ppp1r1c_2	300-0-0-0-0-0-0-0-0-0-22-1	neuron		323	0	0	0	0	0	0	0	0	32	1	0	0	0	MB	MB	0.96969696969697	SCm	SCm	0.9375	MB	SCm	MB	SCm	33	MB	SCm	VGLUT2
Inh_Pax5_Vwa7_1	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-0-0	neuron		59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN	MB	MRN	NA	MB	MRN	GLY
Inh_Pax5_Vwa7_2	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-0-1	neuron		44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MY|P		MY		NA	MY		GLY
Inh_Pax5_Rab38_1	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-1	neuron		57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|CUN|MB	MB	MRN	NA	MB	MRN	GLY
Inh_Pax5_Rab38_2	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-1	neuron		111	0	0	0	0	0	0	0	1	31	0	0	0	0	MB	MB	0.96875	MRN|SCm|CUN|MB|PAG	MRN	0.290322580645161	MB	MRN|CUN|MB	MB	MRN	32	MB	MRN	GABA
Inh_Pax5_Rab38_3	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-1	neuron		199	0	0	0	0	0	0	0	0	56	3	0	1	0	MB	MB	0.933333333333333	CUN|MB|PAG|MRN	CUN	0.357142857142857	MB	MB|MRN|CUN|PAG	MB	MB	60	MB	CUN	GLY
Inh_Pax5_Rab38_4	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-1-0	neuron		121	0	0	0	0	0	0	0	1	50	0	0	0	0	MB	MB	0.980392156862745	CUN|PPN|MRN|MB	CUN	0.54	MB	MB|MRN|CUN	MB	MB	51	MB	CUN	GABA
Inh_Pax5_Rab38_5	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-1-1	neuron		113	0	0	0	0	0	0	0	0	33	1	0	0	0	MB	MB	0.970588235294118	MB|CUN|MRN|SAG	MB	0.575757575757576	MB	CUN|MB|MRN	MB	CUN	34	MB	MB	GABA
Inh_Pax5_Met	300-0-0-0-0-0-0-0-0-0-3-0-0-0-0-1	neuron		218	0	0	0	0	0	0	0	2	88	13	0	0	1	MB	MB	0.846153846153846	MB|PAG|MRN|IC|PPN|SCm	MB	0.295454545454545	MB	PAG|CUN|MB|MRN	MB	PAG	104	MB	MB	GLY
Inh_Pax5_Niban1	300-0-0-0-0-0-0-0-0-0-3-0-0-0-1-0	neuron		243	0	0	0	0	0	0	0	0	28	1	0	0	0	MB	MB	0.96551724137931	MRN|CUN|PAG|MB	MRN	0.5	MB	MB|MRN|PAG	MB	MB	29	MB	MRN	GABA
Inh_Six3_Met_1	300-0-0-0-0-0-0-0-0-0-3-0-0-0-1-1-0-0-0	neuron		44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Met_2	300-0-0-0-0-0-0-0-0-0-3-0-0-0-1-1-0-0-1	neuron		27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Met_3	300-0-0-0-0-0-0-0-0-0-3-0-0-0-1-1-0-1	neuron		37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Met_4	300-0-0-0-0-0-0-0-0-0-3-0-0-0-1-1-1	neuron		31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Ano1_1	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-0-0-0-0-0	neuron		29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Ano1_2	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-0-0-0-0-1	neuron		23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN	MB	MB	NA	MB	MB	GABA
Inh_Six3_Ano1_3	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-0-0-0-1	neuron		28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			GABA
Inh_Six3_Sox21	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-0-0-1	neuron		54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN|PAG	MB	MB	NA	MB	MB	GABA
Inh_Six3_Pamr1_1	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-0-1	neuron		77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Pamr1_2	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-1	neuron		148	0	0	0	0	0	0	0	0	5	0	0	0	1	MB	MB	0.833333333333333	MB|SCm|MRN|SNr	MB	0.4	MB	MRN|MB	MB	MRN	6	MB	MB	GABA
Inh_Sox14_Plac9a	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-0-2	neuron		56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB|SCm	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Svs5	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-1-0-0	neuron		222	0	0	0	0	0	0	0	0	68	1	0	0	0	MB	MB	0.985507246376812	MRN|RN	MRN	0.838235294117647	MB	MRN	MB	MRN	69	MB	MRN	GABA
Inh_Six3_Arid3c	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-1-0-1	neuron		75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Fgf15	300-0-0-0-0-0-0-0-0-0-3-0-0-1-0-1-1	neuron		101	0	0	0	0	0	0	0	0	39	2	0	0	1	MB	MB	0.928571428571429	MRN|RN|MB	MRN	0.692307692307692	MB	MRN|MB	MB	MRN	42	MB	MRN	GABA
Inh_Six3_Ccdc68_1	300-0-0-0-0-0-0-0-0-0-3-0-0-1-1-0-0	neuron		78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN|PAG	MB	MB	NA	MB	MB	GABA
Inh_Six3_Ccdc68_2	300-0-0-0-0-0-0-0-0-0-3-0-0-1-1-0-1	neuron		59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|SCm	MB	MB	NA	MB	MB	GABA
Inh_Six3_Fgf16	300-0-0-0-0-0-0-0-0-0-3-0-0-1-1-1	neuron		16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB		MB		NA	MB		GABA
Inh_Nkx2-2_Trh_1	300-0-0-0-0-0-0-0-0-0-3-0-1-0-0-0-0	neuron		148	0	0	0	0	0	0	0	2	84	1	0	0	0	MB	MB	0.96551724137931	PAG|MRN	PAG	0.80952380952381	MB	MRN|PAG	MB	MRN	87	MB	PAG	GLY
Inh_Nkx2-2_Trh_2	300-0-0-0-0-0-0-0-0-0-3-0-1-0-0-0-1	neuron		97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GLY
Inh_Nkx2-2_Tspo2_1	300-0-0-0-0-0-0-0-0-0-3-0-1-0-0-1	neuron		147	0	0	0	0	0	0	0	0	17	1	0	0	0	MB	MB	0.944444444444444	PAG|MRN|MB	PAG	0.647058823529412	MB	MRN|PAG	MB	MRN	18	MB	PAG	GABA
Inh_Nkx2-2_Tspo2_2	300-0-0-0-0-0-0-0-0-0-3-0-1-0-0-2	neuron		66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GLY
Inh_Nkx2-2_Slc26a7_1	300-0-0-0-0-0-0-0-0-0-3-0-1-0-1-0	neuron		141	0	0	0	0	0	0	0	0	25	2	0	0	0	MB	MB	0.925925925925926	PAG|CUN|MRN	PAG	0.4	MB	PAG|MB|MRN	MB	PAG	27	MB	PAG	GLY
Inh_Nkx2-2_Vwa7	300-0-0-0-0-0-0-0-0-0-3-0-1-0-1-1-0	neuron		90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB|P		MB		NA	MB		GLY
Inh_Nkx2-2_Slc26a7_2	300-0-0-0-0-0-0-0-0-0-3-0-1-0-1-1-1	neuron		23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	CUN|MB|MRN	MB	CUN	NA	MB	CUN	GLY
Inh_Nkx2-2_Glp1r_Trh_1	300-0-0-0-0-0-0-0-0-0-3-0-1-1-0-0	neuron		88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GLY
