Annotation	key	cell_class	removal_reason	num_cells_postQC	top_dissectate_postQC	max_pct_dissectate_postQC	top_replicate_postQC	max_pct_replicate_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Inh_Nkx2-2_Gm16223_2	300-0-0-0-0-0-0-0-0-0-1-1-1-1-0	neuron		95	HY_HY_HY2	29.47%	HY_HY_F022	26.32%																				HY|PAL	HY|LHA|ZI	HY	HY		HY	HY	GABA
Inh_Nkx2-2_Gal	300-0-0-0-0-0-0-0-0-0-1-1-1-1-1	neuron		37	HY_HY_HY1	43.24%	HY_HY_F022	21.62%																				HY|PAL	HY|LHA|ZI	HY	HY		HY	HY	GABA
Ex_Lhx2_Gng8_1	300-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	neuron		119	MB_L5_L5	45.38%	MB_L6_F010	15.97%	0	0	0	0	0	0	1	0	8	3	0	0	0	MB|P	MB	0.666666666666667	MB|MRN|PAG	MB	0.375	MB	MRN|PAG|MB	MB	MRN	12	MB	MB	VGLUT2
Ex_Lhx2_Gng8_2	300-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-1	neuron		74	MB_L5_L5	37.84%	MB_L5_F010	14.86%																				MB	MRN|MB|PAG	MB	MRN		MB	MRN	VGLUT2
Ex_Lhx2_Nek11_1	300-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-1	neuron		104	MB_L5_L5	37.50%	MB_L5_F010	13.46%	0	0	0	0	0	0	3	0	6	0	0	0	0	MB|TH	MB	0.666666666666667	MRN|PAG|IC	MRN	0.5	MB	MRN|MB|PAG	MB	MRN	9	MB	MRN	VGLUT2
Ex_Lhx2_Nek11_2	300-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-2	neuron		57	TH_T5_T5	68.42%	TH_T5_F016	66.67%																				MB|TH		MB			MB		VGLUT2
Ex_Lhx2_Nek11_3	300-0-0-0-0-0-0-0-0-0-10-0-0-0-0-1	neuron		95	MB_L6_L6	31.58%	TH_T5_F016	18.95%																				MB	MRN|MB|PAG	MB	MRN		MB	MRN	VGLUT2
Ex_Lhx2_Nek11_4	300-0-0-0-0-0-0-0-0-0-10-0-0-0-1	neuron		184	MB_L6_L6	36.41%	TH_T5_F016	19.02%	0	0	0	0	0	0	2	0	14	0	0	0	0	MB	MB	0.875	MB|MRN|SNc	MB	0.428571428571429	MB	MB|MRN|PAG	MB	MB	16	MB	MB	VGLUT2
Ex_Lhx2_Nek11_5	300-0-0-0-0-0-0-0-0-0-10-0-0-1	neuron		346	MB_L5_L5	26.30%	MB_L5_M011	13.87%	1	2	0	2	4	6	11	13	40	1	0	0	1	MB|HY|TH|PAL	MB	0.493827160493827	MB|MRN|PAG|SCm|PRT|CUN	MB	0.225	MB	PAG	MB	PAG	81	MB	MB	VGLUT2
Ex_Lhx2_Nek11_6	300-0-0-0-0-0-0-0-0-0-10-0-1-0-0	neuron		322	TH_T5_T5	36.34%	TH_T5_F016	25.47%	0	1	0	0	1	2	10	11	36	0	0	0	0	MB|HY|TH	MB	0.59016393442623	MRN|MB	MRN	0.444444444444444	MB|HY		MB		61	MB	MRN	VGLUT2
	300-0-0-0-0-0-0-0-0-0-10-0-1-0-1-0-0	neuron	manual	0																															none
	300-0-0-0-0-0-0-0-0-0-10-0-1-0-1-0-1	neuron	manual	0																															none
	300-0-0-0-0-0-0-0-0-0-10-0-1-0-1-1	neuron	manual	0																															none
Ex_Lhx2_Nek11_7	300-0-0-0-0-0-0-0-0-0-10-0-1-1-0-0	neuron		64	MB_L6_L6	51.56%	MB_L6_F011	15.63%																				MB	MB|MRN	MB	MB		MB	MB	VGLUT2
Ex_Lhx2_Nek11_8	300-0-0-0-0-0-0-0-0-0-10-0-1-1-0-1	neuron	automatic	0																															none
Ex_Lhx2_Nek11_9	300-0-0-0-0-0-0-0-0-0-10-0-1-1-1	neuron		60	MB_L5_L5	36.67%	MB_L5_F011	13.33%																				MB|TH		MB			MB		VGLUT2
Ex_Gbx2_Adam18_1	300-0-0-0-0-0-0-0-0-0-10-1-0-0-0-0	neuron		101	MB_L5_L5	44.55%	MB_L5_F012	13.86%	0	0	0	0	0	0	2	1	16	3	0	0	0	MB|P	MB	0.727272727272727	MB|MRN|PAG|SCm|PPN	MB	0.25	MB	MRN|PAG|MB	MB	MRN	22	MB	MB	VGLUT2
Ex_Gbx2_C6	300-0-0-0-0-0-0-0-0-0-10-1-0-0-0-1	neuron		18	MB_L5_L5	55.56%	MB_L5_F011	22.22%																				MB	MB|MRN|PAG	MB	MB		MB	MB	VGLUT2
Ex_Gbx2_Adam18_2	300-0-0-0-0-0-0-0-0-0-10-1-0-0-1	neuron		106	MB_L5_L5	50.94%	MB_L5_F010	26.42%	0	0	0	0	0	0	3	0	15	3	0	0	0	MB|TH	MB	0.714285714285714	MB|MRN|PAG|VTA	MB	0.333333333333333	MB		MB		21	MB	MB	VGLUT2
Ex_Gbx2_Wif1	300-0-0-0-0-0-0-0-0-0-10-1-0-0-2	neuron		67	MB_L5_L5	32.84%	MB_L6_M013	11.94%																				MB	MB|MRN	MB	MB		MB	MB	VGLUT2
Ex_Lhx2_Pth2	300-0-0-0-0-0-0-0-0-0-10-1-0-1	neuron		221	TH_T5_T5	22.62%	TH_T5_F016	14.93%	0	1	0	1	3	11	5	122	75	29	0	0	1	HY|MB|P	HY	0.491935483870968	AVPV|MPO|HY|MPN|LHA|ADP|AHN|LPO|MEPO|VMH	AVPV	0.180327868852459	MB		MB		248	HY	AVPV	VGLUT2
Ex_Lhx2_Asb4	300-0-0-0-0-0-0-0-0-0-10-1-1	neuron		161	TH_T5_T5	32.92%	TH_T5_F016	22.36%	0	0	0	0	0	5	2	30	10	0	0	0	0	HY|MB	HY	0.638297872340426	MPN|AVPV|HY|MPO|AVP|PVpo|OV|PS|LPO|ADP|PH	MPN	0.2	MB		MB		47	HY	MPN	VGLUT2
	300-0-0-0-0-0-0-0-0-0-11-0-0-0-0	neuron	manual	0																															none
Ex_C1ql4_Prph	300-0-0-0-0-0-0-0-0-0-11-0-0-0-1	neuron		52	TH_T3_T3	21.15%	TH_T3_F019	21.15%																				MB	MRN|PRT	MB	MRN		MB	MRN	VGLUT2
Ex_C1ql4_Rgcc_1	300-0-0-0-0-0-0-0-0-0-11-0-0-1-0-0	neuron		196	MB_L5_L5	37.24%	MB_L5_M012	17.86%	0	0	0	0	0	0	2	0	41	1	0	0	0	MB	MB	0.931818181818182	PRT|IC|MRN|SCm	PRT	0.487804878048781	MB	MRN|PRT	MB	MRN	44	MB	PRT	VGLUT2
Ex_C1ql4_Rgcc_2	300-0-0-0-0-0-0-0-0-0-11-0-0-1-0-1	neuron		56	MB_L5_L5	44.64%	MB_L5_M013	21.43%																				MB	MRN	MB	MRN		MB	MRN	VGLUT2
Ex_C1ql4_Rgcc_3	300-0-0-0-0-0-0-0-0-0-11-0-0-1-1	neuron		76	MB_L5_L5	28.95%	TH_T1_M013	23.68%																				MB	MRN	MB	MRN		MB	MRN	VGLUT2
Ex_C1ql4_Rgcc_4	300-0-0-0-0-0-0-0-0-0-11-0-1	neuron		208	MB_L5_L5	30.29%	MB_M5_F010	12.50%	0	0	0	0	0	0	0	0	11	0	0	0	0	MB	MB	1	PRT|MRN	PRT	0.727272727272727	MB	MRN|PRT	MB	MRN	11	MB	PRT	VGLUT2
Ex_C1ql4_Tnfrsf11b_1	300-0-0-0-0-0-0-0-0-0-11-1-0-0	neuron		362	TH_T1_T1	62.71%	TH_T1_M018	62.71%	0	0	0	0	1	0	0	0	16	0	0	0	0	MB	MB	0.941176470588235	PRT	PRT	0.9375	MB	PRT	MB	PRT	17	MB	PRT	VGLUT2
Ex_C1ql4_Tnfrsf11b_2	300-0-0-0-0-0-0-0-0-0-11-1-0-1-0	neuron		136	TH_T1_T1	80.88%	TH_T1_M018	80.88%	0	1	0	0	0	0	0	1	11	0	0	0	0	MB|HY	MB	0.846153846153846	PRT|MB	PRT	0.727272727272727	MB	PRT	MB	PRT	13	MB	PRT	VGLUT2
Ex_C1ql4_Tnfrsf11b_3	300-0-0-0-0-0-0-0-0-0-11-1-0-1-1	neuron		85	TH_T1_T1	52.94%	TH_T1_M018	52.94%																				MB		MB			MB		VGLUT2
Ex_C1ql4_Smoc2	300-0-0-0-0-0-0-0-0-0-11-1-1	neuron		115	TH_T1_T1	69.57%	TH_T1_M018	68.70%	0	0	0	0	0	1	0	1	4	0	0	0	0	MB|PAL|HY	MB	0.666666666666667	PRT	PRT	1	MB	PRT	MB	PRT	6	MB	PRT	VGLUT2
Ex_Lhx3_Arsj	300-0-0-0-0-0-0-0-0-0-12-0-0-0-0	neuron		324	BS_M6_M6	73.46%	BS_M6_M008	25.31%	0	0	0	0	0	0	0	0	21	112	337	3	1	MY|P	MY	0.710970464135021	GRN|MY|MARN|IRN|PGRN|IO|PARN|VNC	GRN	0.243323442136499	MY	GRN|IRN|MARN|MY	MY	GRN	474	MY	GRN	VGLUT2
Ex_Lhx3_Nkx6-3	300-0-0-0-0-0-0-0-0-0-12-0-0-0-1	neuron		79	BS_M6_M6	40.51%	BS_L6_F005	13.92%																				MY	GRN|MY	MY	GRN		MY	GRN	VGLUT2
Ex_Lhx3_Tlcd1_1	300-0-0-0-0-0-0-0-0-0-12-0-0-0-2	neuron		68	BS_M6_M6	66.18%	BS_M6_M008	27.94%																				MY	GRN|IRN|MARN|MY	MY	GRN		MY	GRN	VGLUT2
Ex_Lhx3_Tlcd1_2	300-0-0-0-0-0-0-0-0-0-12-0-0-1-0	neuron		69	BS_M6_M6	33.33%	BS_M6_F005	15.94%																				MY	GRN|IRN|MY|MARN	MY	GRN		MY	GRN	VGLUT2
Ex_Lhx3_Tlcd1_3	300-0-0-0-0-0-0-0-0-0-12-0-0-1-1	neuron		41	BS_M6_M6	56.10%	BS_M6_F008	17.07%																				MY		MY			MY		VGLUT2
Ex_Sox14_Sp8_1	300-0-0-0-0-0-0-0-0-0-12-0-1-0	neuron		296	BS_M6_M6	48.99%	BS_M6_M008	13.51%	0	0	0	0	0	0	0	0	7	17	152	0	0	MY	MY	0.863636363636364	MARN|MY|GRN|IRN|IO	MARN	0.322368421052632	MY	GRN|IRN|MY|MARN|PGRN	MY	GRN	176	MY	MARN	VGLUT2
Ex_Sox14_Sp8_2	300-0-0-0-0-0-0-0-0-0-12-0-1-1-0	neuron		68	BS_M6_M6	48.53%	BS_M6_F008	19.12%																				MY	GRN|IRN|PARN	MY	GRN		MY	GRN	VGLUT2
Ex_Sox14_Sp8_3	300-0-0-0-0-0-0-0-0-0-12-0-1-1-1	neuron		62	BS_M6_M6	64.52%	BS_M6_F008	20.97%																				MY|P		MY			MY		VGLUT2
Ex_Lhx3_Trat1	300-0-0-0-0-0-0-0-0-0-12-1-0-0-0-0-0	neuron		60	BS_M6_M6	36.67%	BS_M6_F005	18.33%																				MY		MY			MY		VGLUT2
Ex_Lhx3_Tspo2_1	300-0-0-0-0-0-0-0-0-0-12-1-0-0-0-0-1	neuron		49	BS_M6_M6	71.43%	BS_M6_F008	26.53%																											VGLUT2
Ex_Lhx3_Robo3	300-0-0-0-0-0-0-0-0-0-12-1-0-0-0-1	neuron		45	BS_M5_M5	46.67%	BS_M5_F007	22.22%																											VGLUT2
Ex_Lhx3_A730046J19Rik	300-0-0-0-0-0-0-0-0-0-12-1-0-0-1	neuron		79	BS_M5_M5	22.78%	BS_L7_F005	13.92%																				MY		MY			MY		VGLUT2
Ex_Lhx3_Tspo2_2	300-0-0-0-0-0-0-0-0-0-12-1-0-1-0	neuron		77	BS_M5_M5	59.74%	BS_M5_F008	18.18%																				MY|P		MY			MY		VGLUT2
Ex_Lhx3_Tspo2_3	300-0-0-0-0-0-0-0-0-0-12-1-0-1-1	neuron		41	BS_M5_M5	68.29%	BS_M5_F008	21.95%																				MY		MY			MY		VGLUT2
Ex_Lhx3_Slc5a7_1	300-0-0-0-0-0-0-0-0-0-12-1-1-0-0-0	neuron		34	BS_M5_M5	32.35%	BS_M3_M008	14.71%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Lhx3_Slc5a7_2	300-0-0-0-0-0-0-0-0-0-12-1-1-0-0-1	neuron		19	BS_M3_M3	42.11%	BS_M3_F008	15.79%																				MB		MB			MB		VGLUT2
Ex_Lhx3_Slc5a7_3	300-0-0-0-0-0-0-0-0-0-12-1-1-0-1	neuron		28	BS_M6_M6	32.14%	BS_L6_F005	25.00%																											VGLUT2
Ex_Lhx3_Slc5a7_4	300-0-0-0-0-0-0-0-0-0-12-1-1-0-2	neuron		15	BS_L6_L6	40.00%	BS_L6_F005	33.33%																				MY		MY			MY		VGLUT2
Ex_Lhx3_Slc5a7_5	300-0-0-0-0-0-0-0-0-0-12-1-1-1-0	neuron		65	BS_M6_M6	27.69%	BS_M6_F007	10.77%																				MY|P	GRN|IRN|PARN	MY	GRN		MY	GRN	VGLUT2
Ex_Lhx3_Slc5a7_6	300-0-0-0-0-0-0-0-0-0-12-1-1-1-1	neuron	automatic	0																															none
Ex_Pou4f1_Vill	300-0-0-0-0-0-0-0-0-0-12-2	neuron		47	BS_L1_L1	51.06%	BS_L1_F005	21.28%																				MY	GRN|IRN|MARN	MY	GRN		MY	GRN	VGLUT2
Ex_Vsx2_Tecta_1	300-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-0-0	neuron		55	BS_M3_M3	36.36%	BS_M3_M010	20.00%																				P		P			P		VGLUT2
Ex_Vsx2_Tecta_2	300-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-0-1	neuron		17	BS_M1_M1	47.06%	BS_M1_M008	23.53%																				MB		MB			MB		VGLUT2
Ex_Vsx2_Tecta_3	300-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-1	neuron		47	BS_M1_M1	38.30%	BS_M3_M010	14.89%																				MY|P		MY			MY		VGLUT2
Ex_Vsx2_Tecta_4	300-0-0-0-0-0-0-0-0-0-13-0-0-0-0-1	neuron		61	BS_M3_M3	29.51%	BS_M1_F008	13.11%																				MY|P		MY			MY		VGLUT2
Ex_Vsx2_Crym	300-0-0-0-0-0-0-0-0-0-13-0-0-0-1	neuron		139	BS_M3_M3	68.35%	BS_M3_F008	23.02%	0	0	0	0	0	0	0	0	1	4	7	1	0	MY|P|MB	MY	0.538461538461538	GRN|IRN|PARN|MY	GRN	0.428571428571429	MY|P		MY		13	MY	GRN	VGLUT2_VGLUT3
Ex_Vsx2_Htr3a	300-0-0-0-0-0-0-0-0-0-13-0-0-1	neuron		60	BS_M3_M3	66.67%	BS_M3_F008	26.67%																				P		P			P		VGLUT2
Ex_Vsx2_C1ql2_1	300-0-0-0-0-0-0-0-0-0-13-0-1-0	neuron		227	BS_M1_M1	35.68%	BS_M1_F008	9.25%	0	0	0	0	0	0	0	0	0	5	4	0	0	P|MY	P	0.555555555555556	PRNc|PRNr	PRNc	0.6	P		P		9	P	PRNc	VGLUT2
Ex_Vsx2_C1ql2_2	300-0-0-0-0-0-0-0-0-0-13-0-1-1	neuron		94	BS_M3_M3	81.91%	BS_M3_F008	32.98%																				P		P			P		VGLUT2
Ex_Vsx2_Apbb1ip	300-0-0-0-0-0-0-0-0-0-13-0-2-0	neuron		124	BS_M1_M1	54.84%	BS_M1_F007	16.13%	0	0	0	0	0	0	0	0	0	5	3	0	0	P|MY	P	0.625	CS|LDT|PB|P	CS	0.4	P		P		8	P	CS	VGLUT2
Ex_Vsx2_Col15a1	300-0-0-0-0-0-0-0-0-0-13-0-2-1	neuron		75	BS_M1_M1	52.00%	BS_M1_F008	20.00%																				MY|P		MY			MY		VGLUT2
Ex_Vsx2_Drd3_1	300-0-0-0-0-0-0-0-0-0-13-1-0-0	neuron		149	BS_M1_M1	51.01%	BS_M1_F008	14.09%	0	0	0	0	0	0	0	0	0	7	8	0	0	MY|P	MY	0.533333333333333	MARN|MY|PHY|NTS|PGRN	MARN	0.25	P		P		15	MY	MARN	VGLUT2
Ex_Vsx2_Drd3_2	300-0-0-0-0-0-0-0-0-0-13-1-0-1	neuron		87	BS_M1_M1	50.57%	BS_M1_F007	12.64%																				P		P			P		VGLUT2
Ex_Vsx2_Drd3_3	300-0-0-0-0-0-0-0-0-0-13-1-1-0	neuron		126	BS_M1_M1	42.86%	BS_M1_F008	12.70%	0	0	0	0	0	0	0	0	0	11	1	0	1	P	P	0.846153846153846	CS|PRNr|P	CS	0.454545454545455	P		P		13	P	CS	VGLUT2
Ex_Vsx2_Gm21671	300-0-0-0-0-0-0-0-0-0-13-1-1-1	neuron	automatic	0																															none
Inh_Gata3_Npffr1_Ntsr1	300-0-0-0-0-0-0-0-0-0-13-2-0	neuron		186	BS_M3_M3	44.62%	BS_M3_M010	24.19%	0	0	0	0	0	0	0	0	0	7	0	0	0	P	P	1	P|NI|PRNc|CS	P	0.428571428571429	MB|P		MB		7	P	P	GABA
Inh_Gata3_Chrna5	300-0-0-0-0-0-0-0-0-0-13-2-1	neuron		50	BS_M1_M1	28.00%	BS_M3_M010	14.00%																				P|MB		P			P		VGLUT3_GABA
Inh_Hmcn1_Sycp2l_1	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0	neuron		277	BS_L7_L7	32.49%	BS_L1_M007	20.22%	0	0	0	0	0	0	0	0	2	10	46	1	0	MY|P	MY	0.779661016949153	IRN|GRN|PARN|VNC|SPVI|MY|SPVO|MARN	IRN	0.239130434782609	MY	GRN|IRN|PARN	MY	GRN	59	MY	IRN	GLY
Inh_Hmcn1_Sycp2l_2	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-1	neuron		200	BS_L8_L8	18.00%	BS_L8_F005	10.50%	0	0	0	0	0	0	0	0	1	0	49	0	0	MY	MY	0.98	IRN|PARN|GRN|PGRN|LRN|MDRN	IRN	0.306122448979592	MY	GRN|IRN|PARN	MY	GRN	50	MY	IRN	GLY
Inh_Hmcn1_Sycp2l_3	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-2-0	neuron		58	BS_L6_L6	27.59%	BS_L1_M007	17.24%																				MY	GRN|IRN|PARN	MY	GRN		MY	GRN	GLY
Inh_Hmcn1_Sycp2l_4	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-2-1	neuron		39	BS_L6_L6	33.33%	BS_M8_F005	17.95%																				MY	PARN|GRN|IRN|VNC	MY	PARN		MY	PARN	GLY
Inh_Hmcn1_Sycp2l_5	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-2-2	neuron		28	BS_L8_L8	28.57%	BS_L6_F007	10.71%																				MY	PARN|GRN|IRN	MY	PARN		MY	PARN	GLY
Inh_Hmcn1_Sycp2l_6	300-0-0-0-0-0-0-0-0-0-14-0-0-0-0-1	neuron		34	BS_M7_M7	29.41%	BS_M7_M008	20.59%																				MY	IRN|GRN|PARN|SPVO	MY	IRN		MY	IRN	GLY
Inh_Hmcn1_Sycp2l_7	300-0-0-0-0-0-0-0-0-0-14-0-0-0-1	neuron		180	BS_L7_L7	25.56%	BS_L8_F007	15.56%	0	0	0	0	0	0	0	0	0	1	8	0	0	MY	MY	0.888888888888889	PARN|SPVC|SPVI|GRN|VNC	PARN	0.25	MY	PARN|IRN	MY	PARN	9	MY	PARN	GLY
Inh_Pax8_Tac2	300-0-0-0-0-0-0-0-0-0-14-0-0-1	neuron		102	BS_L7_L7	30.39%	BS_M8_F005	28.43%	0	0	0	0	0	0	0	0	0	1	15	0	0	MY	MY	0.9375	SPVI|PARN|MDRN|GRN	SPVI	0.466666666666667	MY	GRN|PARN|SPVI	MY	GRN	16	MY	SPVI	GLY
Inh_Pax8_Abcc9_1	300-0-0-0-0-0-0-0-0-0-14-0-1-0-0	neuron		101	BS_L6_L6	32.67%	BS_L6_M010	14.85%	0	0	0	0	0	0	0	0	0	0	29	0	0	MY	MY	1	PGRN|MY|PARN|SPVI|IRN|GRN	PGRN	0.241379310344828	MY	PARN|IRN	MY	PARN	29	MY	PGRN	GLY
Inh_Tfap2b_Ikzf1	300-0-0-0-0-0-0-0-0-0-14-0-1-0-1	neuron		32	BS_L8_L8	50.00%	BS_L8_F005	18.75%																				MY		MY			MY		GLY
Inh_Pax8_Slc30a8	300-0-0-0-0-0-0-0-0-0-14-0-1-1-0	neuron		52	BS_L5_L5	51.92%	BS_L5_M008	15.38%																				MY	IRN|PARN|GRN	MY	IRN		MY	IRN	GLY
Inh_Pax8_Abcc9_2	300-0-0-0-0-0-0-0-0-0-14-0-1-1-1	neuron		45	BS_L5_L5	33.33%	BS_L5_M009	11.11%																				MY	IRN|PGRN|PARN	MY	IRN		MY	IRN	GLY
Inh_Tfap2b_Gabrq_1	300-0-0-0-0-0-0-0-0-0-14-1-0-0-0-0	neuron		53	BS_L5_L5	26.42%	BS_L7_F005	16.98%																				MY	PARN|GRN|IRN|MDRN|SPVI	MY	PARN		MY	PARN	GLY
Inh_Tfap2b_Gabrq_2	300-0-0-0-0-0-0-0-0-0-14-1-0-0-0-1	neuron		53	BS_L7_L7	26.42%	BS_L7_F005	18.87%																				MY		MY			MY		GLY
Inh_Tfap2b_Gabrq_3	300-0-0-0-0-0-0-0-0-0-14-1-0-0-1	neuron		62	BS_L6_L6	46.77%	BS_L6_M010	24.19%																				MY	IRN|GRN|MDRN|MY|PARN|PGRN	MY	IRN		MY	IRN	GLY
Inh_Tfap2b_Agtr1a_1	300-0-0-0-0-0-0-0-0-0-14-1-0-1-0-0-0	neuron		48	BS_M7_M7	47.92%	BS_L7_F005	16.67%																				MY	IRN|GRN|PGRN	MY	IRN		MY	IRN	GLY
Inh_Tfap2b_Agtr1a_2	300-0-0-0-0-0-0-0-0-0-14-1-0-1-0-0-1	neuron		35	BS_M7_M7	45.71%	BS_L1_M007	11.43%																				MY	IRN|GRN|MY|PGRN	MY	IRN		MY	IRN	GLY
Inh_Tfap2b_Agtr1a_3	300-0-0-0-0-0-0-0-0-0-14-1-0-1-0-1	neuron	automatic	0																															none
Inh_Tfap2b_Slc22a7	300-0-0-0-0-0-0-0-0-0-14-1-0-1-1	neuron		52	BS_M7_M7	36.54%	BS_L7_F005	17.31%																				MY	IRN|GRN	MY	IRN		MY	IRN	GLY
Inh_Tfap2b_Saa1_1	300-0-0-0-0-0-0-0-0-0-14-1-1-0-0-0	neuron		64	BS_L6_L6	20.31%	BS_L8_F005	12.50%																				MY	GRN|IRN	MY	GRN		MY	GRN	GLY
Inh_Tfap2b_Col5a2_1	300-0-0-0-0-0-0-0-0-0-14-1-1-0-0-1	neuron		52	BS_L6_L6	42.31%	BS_L8_F005	21.15%																				MY	GRN|IRN	MY	GRN		MY	GRN	GLY
Inh_Tfap2b_Adamtsl2	300-0-0-0-0-0-0-0-0-0-14-1-1-0-1	neuron		27	BS_L7_L7	40.74%	BS_L1_M007	18.52%																				MY|P	GRN	MY	GRN		MY	GRN	GLY
Inh_Tfap2b_Col5a2_2	300-0-0-0-0-0-0-0-0-0-14-1-1-1	neuron		66	BS_L8_L8	40.91%	BS_L8_F005	30.30%																				MY	PARN|IRN	MY	PARN		MY	PARN	GLY
Ex_C1ql4_Trhr_1	300-0-0-0-0-0-0-0-0-0-15-0-0-0-0	neuron		437	MB_M4_M4A	33.87%	MB_M6_M012	15.56%	0	0	0	0	0	0	1	2	108	2	0	0	0	MB	MB	0.955752212389381	PAG|MRN|MB	PAG	0.583333333333333	MB	PAG|MRN	MB	PAG	113	MB	PAG	VGLUT2
	300-0-0-0-0-0-0-0-0-0-15-0-0-0-1-0-0	neuron	manual	0																															none
	300-0-0-0-0-0-0-0-0-0-15-0-0-0-1-0-1	neuron	manual	0																															none
	300-0-0-0-0-0-0-0-0-0-15-0-0-0-1-1	neuron	manual	0																															none
Ex_C1ql4_Trhr_2	300-0-0-0-0-0-0-0-0-0-15-0-0-1	neuron		108	MB_L7_L7	25.93%	MB_L7_M011	17.59%	0	0	0	0	0	0	0	2	24	0	0	0	0	MB	MB	0.923076923076923	PAG|MRN|CUN|PPN	PAG	0.458333333333333	MB	PAG|MRN	MB	PAG	26	MB	PAG	VGLUT2
Ex_C1ql4_Trhr_3	300-0-0-0-0-0-0-0-0-0-15-0-1-0-0-0-0-0	neuron		199	MB_M4_M4A	46.73%	MB_M6_M012	18.09%	0	0	0	0	0	0	0	0	42	0	0	0	0	MB	MB	1	PAG|MRN	PAG	0.595238095238095	MB	PAG|MRN	MB	PAG	42	MB	PAG	VGLUT2
Ex_C1ql4_Trhr_4	300-0-0-0-0-0-0-0-0-0-15-0-1-0-0-0-0-1	neuron		57	MB_M4_M4A	49.12%	MB_M4_A_F013	17.54%																				MB	MRN|PAG	MB	MRN		MB	MRN	VGLUT2
Ex_C1ql4_Trhr_5	300-0-0-0-0-0-0-0-0-0-15-0-1-0-0-0-1	neuron		29	MB_M4_M4A	55.17%	MB_M6_M012	34.48%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Trhr_6	300-0-0-0-0-0-0-0-0-0-15-0-1-0-0-1	neuron		64	MB_M4_M4A	56.25%	MB_M4_A_F013	17.19%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Trhr_7	300-0-0-0-0-0-0-0-0-0-15-0-1-0-1	neuron		61	MB_M4_M4A	47.54%	MB_M6_M012	31.15%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Trhr_8	300-0-0-0-0-0-0-0-0-0-15-0-1-1-0	neuron		163	MB_M4_M4A	47.24%	MB_M6_M012	37.42%	0	0	0	0	0	0	0	1	21	3	0	0	0	MB|P	MB	0.84	PAG|MRN|CUN	PAG	0.571428571428571	MB	MRN|PAG	MB	MRN	25	MB	PAG	VGLUT2
Ex_C1ql4_Trhr_9	300-0-0-0-0-0-0-0-0-0-15-0-1-1-1	neuron		105	MB_M4_M4A	56.19%	MB_M6_M012	36.19%	0	0	0	0	0	0	0	0	24	0	0	0	0	MB	MB	1	PAG	PAG	0.916666666666667	MB	PAG|MRN	MB	PAG	24	MB	PAG	VGLUT2
Ex_Ebf2_Antxr2	300-0-0-0-0-0-0-0-0-0-15-1	neuron		92	MB_M4_M4A	67.39%	MB_M4_A_F010	16.30%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Inh_Dlk1_Olfr48	300-0-0-0-0-0-0-0-0-0-16-0-0	neuron		625	BS_M6_M6	44.64%	BS_M6_F008	15.04%	0	0	0	0	0	0	0	0	13	25	130	2	1	MY|P	MY	0.760233918128655	MY|GRN|PGRN|MARN|IO|LRN|VNC|IRN	MY	0.230769230769231	MY	GRN|IRN	MY	GRN	171	MY	MY	GLY
Inh_Dlk1_Asb4_1	300-0-0-0-0-0-0-0-0-0-16-0-1-0	neuron		195	BS_M6_M6	73.85%	BS_M6_M008	21.03%	0	0	0	0	0	0	0	0	0	0	11	0	0	MY	MY	1	MY|MARN|IO|RPA	MY	0.636363636363636	MY	MY	MY	MY	11	MY	MY	GLY
	300-0-0-0-0-0-0-0-0-0-16-0-1-1-0	neuron	manual	0																															none
	300-0-0-0-0-0-0-0-0-0-16-0-1-1-1	neuron	manual	0																															none
Inh_Dlk1_Asb4_2	300-0-0-0-0-0-0-0-0-0-16-0-1-1-2	neuron	automatic	0																															none
